This is Ipopt version 3.14.4, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:    62741
Number of nonzeros in inequality constraint Jacobian.:    13544
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:    21520
                     variables with only lower bounds:     4961
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:    17061
Total number of inequality constraints...............:     3876
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:     3876

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  4.8875479e+01 2.30e+01 8.10e+01   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  5.8873894e+01 2.29e+01 8.07e+01   0.1 5.15e+01    -  8.73e-03 4.68e-03f  1
   2  1.1173624e+02 2.24e+01 7.88e+01  -0.1 5.91e+01    -  1.17e-02 2.14e-02f  1
   3  1.5521523e+02 2.18e+01 7.69e+01  -0.4 6.08e+01    -  1.44e-02 2.44e-02f  1
   4  3.0779638e+02 2.10e+01 7.40e+01   0.1 7.45e+01    -  6.79e-02 3.76e-02f  1
   5  1.2170745e+03 1.92e+01 6.77e+01   0.4 3.92e+01    -  6.37e-02 8.53e-02f  1
   6  2.9565749e+03 1.39e+01 4.90e+01  -0.6 2.85e+01    -  3.17e-02 2.78e-01h  1
   7  2.9357361e+03 1.20e+01 4.22e+01  -1.1 2.92e+01    -  2.66e-01 1.36e-01f  1
   8  2.8618949e+03 9.41e+00 5.75e+01  -0.9 2.36e+01    -  2.06e-01 2.15e-01f  1
   9  2.8998686e+03 7.72e+00 4.97e+01  -0.4 1.79e+01    -  2.89e-01 1.79e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  2.9957671e+03 6.47e+00 4.46e+01  -0.3 1.72e+01    -  3.36e-01 1.63e-01f  1
  11  2.8068534e+03 5.30e+00 4.05e+01  -2.0 2.74e+01    -  2.06e-01 1.81e-01f  1
  12  3.0859514e+03 4.25e+00 5.08e+01  -0.4 4.94e+01    -  3.55e-01 1.99e-01f  1
  13  3.6472030e+03 1.46e+00 4.22e+01  -0.5 1.94e+01    -  8.00e-01 7.21e-01h  1
  14  3.5442856e+03 1.26e+00 9.37e+01  -0.8 2.97e+01    -  3.59e-01 1.36e-01f  3
  15  3.1878705e+03 6.26e-01 1.34e+01  -0.8 3.17e+00    -  1.00e+00 9.90e-01f  1
  16  3.1337803e+03 4.01e-01 7.70e+03  -0.8 3.38e+00    -  6.99e-01 9.30e-01H  1
  17  2.6983160e+03 3.25e-01 2.42e+04  -1.5 1.96e+00    -  1.00e+00 7.36e-01f  1
  18  2.5447941e+03 2.35e-01 1.94e+05  -1.4 2.96e+00    -  1.00e+00 5.58e-01f  1
  19  2.5146694e+03 1.57e-01 9.04e+05  -1.1 4.50e+00    -  1.00e+00 4.78e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  2.4653014e+03 1.12e-01 1.66e+06  -1.1 1.02e+01    -  1.00e+00 3.85e-01f  1
  21  2.4021896e+03 9.28e-02 8.69e+05  -1.6 1.47e+01    -  8.60e-01 1.95e-01f  1
  22  2.3391104e+03 8.04e-02 9.26e+05  -1.4 4.00e+01    -  5.73e-01 1.85e-01f  1
  23  2.2571573e+03 7.12e-02 6.93e+05  -1.7 6.25e+01    -  2.54e-01 1.55e-01f  1
  24  2.2613316e+03 1.18e-01 2.02e+06  -0.9 7.78e+01    -  3.32e-01 1.10e-01f  1
  25  2.2089501e+03 9.17e-02 1.57e+06  -1.3 3.73e+01    -  3.73e-01 2.22e-01f  1
  26  2.1371028e+03 9.39e-02 1.11e+06  -1.7 5.60e+01    -  2.29e-01 1.14e-01f  1
  27  2.2981517e+03 3.11e-01 2.37e+06  -0.6 8.11e+01    -  2.76e-01 1.72e-01f  1
  28  2.1679730e+03 3.82e-01 1.60e+06  -1.1 3.23e+01    -  3.25e-01 3.25e-01f  1
  29  2.0383850e+03 3.17e-01 1.20e+06  -1.1 2.61e+01    -  4.26e-01 1.78e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30  1.9610313e+03 5.75e-01 2.63e+06  -0.8 3.48e+01    -  4.95e-01 2.41e-01f  1
  31  1.8501035e+03 4.17e-01 1.63e+06  -0.9 1.68e+01    -  4.40e-01 3.85e-01f  1
  32  1.9025577e+03 3.87e-01 3.75e+06  -0.7 1.08e+01    -  6.04e-01 3.06e-01f  1
  33  1.8049150e+03 1.83e-01 1.24e+06  -0.9 5.80e+00    -  6.57e-01 6.29e-01F  1
  34  1.7006173e+03 1.50e-01 3.86e+05  -0.9 5.57e+00    -  8.98e-01 5.29e-01f  1
  35  1.6056933e+03 1.26e-01 5.78e+05  -0.9 5.23e+00    -  9.74e-01 4.38e-01f  1
  36  1.9570341e+03 3.70e-01 5.38e+00  -0.7 3.36e+00    -  1.00e+00 1.00e+00f  1
  37  1.7767825e+03 3.36e-01 3.14e+00  -0.7 1.60e+00    -  1.00e+00 1.00e+00f  1
  38  1.4885666e+03 1.51e-01 6.09e+06  -1.4 3.26e+00    -  9.58e-01 5.32e-01f  1
  39  1.2742813e+03 9.61e-02 4.52e+06  -1.5 5.82e+00    -  1.00e+00 3.43e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40  1.4939297e+03 8.57e-02 5.67e+05  -0.8 9.20e+00    -  7.69e-01 6.95e-01F  1
  41  1.4034317e+03 3.64e-01 3.05e+04  -0.9 3.73e+00    -  9.80e-01 6.48e-01f  1
  42  1.2278693e+03 2.34e-01 2.81e+00  -1.0 5.80e-01    -  1.00e+00 1.00e+00f  1
  43  1.1383612e+03 4.61e-02 7.96e+04  -1.1 9.13e-01    -  9.26e-01 8.70e-01f  1
  44  1.0123157e+03 2.19e-02 1.93e+06  -1.4 2.14e+00    -  1.00e+00 5.44e-01f  1
  45  1.1796161e+03 2.76e-01 7.95e+05  -0.9 1.25e+01    -  4.30e-01 3.82e-01f  1
  46  1.0807486e+03 2.83e-01 6.82e+05  -1.2 3.43e+00    -  6.46e-01 4.45e-01f  1
  47  9.7943193e+02 1.56e-01 4.56e+04  -1.2 1.43e+00    -  4.46e-01 7.47e-01f  1
  48  9.5977584e+02 2.11e-02 1.58e+04  -1.2 8.14e-01    -  7.81e-01 1.00e+00f  1
  49  9.4003935e+02 1.31e-02 3.59e+05  -1.2 2.30e+00    -  1.00e+00 3.75e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50  9.7276445e+02 2.75e-02 1.26e+05  -0.9 1.49e+01    -  2.58e-01 1.81e-01f  1
  51  9.5624936e+02 2.64e-02 5.28e+05  -1.2 1.24e+01    -  4.68e-01 7.47e-02f  1
  52  9.2504412e+02 6.99e-02 9.11e+05  -1.2 1.93e+01    -  7.50e-01 1.95e-01f  1
  53  9.0227130e+02 1.06e-01 7.05e+05  -1.2 1.02e+01    -  6.06e-01 2.00e-01f  2
  54  8.7280329e+02 1.27e-01 8.24e+04  -1.3 6.24e+00    -  5.16e-01 7.35e-01H  1
  55  7.2458764e+02 4.69e-01 1.17e+05  -1.4 1.74e+00    -  8.12e-01 8.72e-01f  1
  56  6.7084276e+02 2.45e-01 2.19e+04  -1.5 7.09e-01    -  7.64e-01 7.56e-01f  1
  57  6.3257854e+02 1.66e-01 1.47e+06  -1.9 1.30e+00    -  1.00e+00 3.23e-01f  1
  58  5.5959730e+02 1.31e-01 1.35e+06  -2.2 2.98e+00    -  1.00e+00 3.80e-01f  1
  59  5.1638556e+02 7.64e-02 8.17e+05  -2.2 2.75e+00    -  6.87e-01 4.12e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60  4.8046833e+02 4.48e-02 6.00e+05  -2.6 1.26e+00    -  9.88e-01 5.00e-01f  1
  61  4.8278529e+02 3.18e-02 1.28e+05  -1.9 2.68e-01    -  6.38e-01 3.04e-01f  1
  62  4.6356399e+02 1.63e-02 2.84e+05  -2.5 6.25e-01    -  1.00e+00 5.33e-01f  1
  63  4.5176124e+02 1.79e-02 2.83e+05  -4.0 2.74e+00    -  5.20e-01 2.76e-01f  1
  64  4.4247773e+02 1.56e-02 2.61e+05  -4.0 1.92e+00    -  5.55e-01 2.47e-01f  1
  65  4.3669757e+02 2.21e-02 2.24e+05  -3.3 7.55e+00    -  1.32e-01 1.40e-01f  1
  66  4.4654689e+02 3.80e-02 3.07e+05  -2.1 3.25e+00    -  2.46e-01 5.35e-01f  1
  67  4.4227669e+02 4.94e-02 2.55e+05  -2.5 1.33e+01    -  1.95e-01 1.54e-01f  1
  68  4.3533728e+02 4.19e-02 2.07e+05  -2.5 1.24e+01    -  3.03e-01 1.32e-01f  1
